3,38,55,88
3,54,20,51
69,17,16,64
51,31,42,70
29,41,30,69
47,30,48,51
64,10,28,42
30,31,49,71
35,58,40,42
87,35,22,68
73,44,30,64
83,61,21,53
81,19,21,60
48,72,11,44
20,22,26,97
56,53,31,49
17,56,26,52
86,76,31,42
71,38,40,59
80,63,23,53
16,25,52,91
14,2,21,64
18,0,28,51
68,16,14,46
42,3,33,76
22,59,23,65
14,9,56,48
22,0,19,79
73,19,22,57
40,10,37,55
28,46,19,40
22,42,39,75
23,24,40,58
42,31,30,64
104,7,22,52
30,2,41,52
64,10,29,72
32,55,18,53
5,56,15,51
48,22,37,71
10,10,39,91
94,14,15,44
44,0,64,59
7,41,33,54
103,6,14,47
54,28,15,68
78,53,24,53
95,49,29,55
71,4,16,56
92,45,33,74
48,1,45,68
39,24,8,62
61,5,24,83
59,37,36,54
10,40,18,42
111,23,15,58
109,67,17,41
5,56,35,52
12,13,23,107
46,27,55,57
61,8,53,77
6,22,60,84
58,20,53,51
43,22,58,58
104,62,19,52
87,37,22,53
64,26,14,53
39,42,31,48
70,0,43,100
19,57,21,44
62,3,16,49
58,71,12,46
44,23,54,55
7,73,26,48
21,10,17,73
33,43,23,64
29,56,42,69
16,21,37,61
90,27,25,90
40,46,44,68
83,28,37,94
88,42,34,62
90,30,19,64
100,22,22,63
64,30,20,50
87,9,16,52
93,72,14,43
15,32,33,51
28,57,53,57
1,0,22,51
60,28,24,44
70,30,26,56
71,4,34,54
37,21,20,73
60,12,39,72
88,3,32,67
2,44,11,49
62,37,22,70
22,31,29,53
66,32,19,67
6,10,51,51
40,29,50,56
8,15,51,88
19,47,32,50
76,49,35,72
42,65,23,54
49,32,13,49
53,30,17,55
24,8,28,62
31,49,31,44
100,42,12,42
26,55,21,60
33,80,33,44
99,60,15,65
4,7,22,70
40,72,53,44
79,33,10,41
0,19,19,55
71,3,19,50
19,25,47,26
35,24,62,30
84,40,23,72
65,40,49,81
32,9,17,41
1,29,35,58
63,50,25,58
3,13,25,42
42,57,28,53
33,25,64,49
22,51,46,71
36,14,47,55
62,36,33,81
11,77,26,41
35,35,29,67
29,13,33,106
10,79,48,44
97,12,20,50
39,22,21,88
65,26,37,40
2,0,21,41
23,51,35,71
56,49,60,35
54,3,52,71
42,24,65,73
47,29,24,73
83,50,22,67
31,80,25,46
65,4,13,41
91,32,23,64
56,48,23,65
53,28,32,65
24,65,46,26
26,28,48,68
40,0,69,57
73,26,17,50
93,42,28,65
76,61,35,44
17,4,45,69
26,10,46,52
37,65,70,41
49,40,32,50
9,32,47,43
0,25,37,55
35,23,16,69
79,52,24,68
7,49,19,45
57,16,28,66
12,64,35,52
6,48,39,70
16,56,45,51
47,24,14,56
90,45,32,68
24,28,28,50
44,51,37,48
30,37,25,46
62,39,54,72
86,2,35,58
51,38,28,79
58,7,28,62
95,24,25,93
7,41,30,42
67,11,44,71
28,13,16,87
43,40,49,68
87,10,37,89
58,28,19,48
9,30,26,56
21,29,24,68
15,28,42,33
24,33,42,51
66,27,24,59
29,8,42,71
48,41,67,49
10,6,31,46
8,36,20,73
0,51,46,64
72,48,32,65
11,47,64,65
19,13,35,61
76,36,24,42
7,50,19,45
52,5,35,91
55,53,26,51
45,48,30,49
78,4,23,65
48,1,33,53
1,21,46,65
29,31,23,48
14,6,24,48
106,41,20,59
104,56,21,58
113,12,12,52
10,60,17,51
90,37,14,49
49,27,23,62
63,19,41,48
28,45,23,67
44,20,8,93
65,48,33,53
55,49,14,61
71,29,36,69
56,59,22,62
42,58,16,49
13,67,34,43
60,16,35,67
58,34,16,46
24,51,43,60
54,64,23,46
51,23,58,90
34,13,19,79
35,41,13,55
74,32,32,61
59,53,44,65
13,71,21,43
9,67,17,49
35,13,55,40
13,30,23,57
57,8,24,56
3,19,22,62
97,46,16,52
76,56,40,53
49,14,29,58
3,14,9,54
17,35,27,65
28,39,17,71
